BoMAll,BoMAllNoAZ,TeoOnly,TeoOnlyNoAZ
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
100,100,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,50,50
125,125,75,75
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,100
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,125
125,125,85,137.5
125,125,85,137.5
125,125,85,137.5
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,150
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,175
125,125,85,187.5
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,85,200
125,125,100,200
125,125,100,200
125,125,100,200
125,125,100,200
125,125,100,200
125,125,100,200
125,125,100,225
125,125,100,225
125,125,100,262.5
125,125,100,262.5
125,125,100,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,262.5
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,270
125,125,125,350
125,125,125,350
125,125,125,350
125,125,125,350
125,125,125,350
125,125,125,350
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
125,125,125,362.5
150,150,125,362.5
150,150,125,362.5
150,150,125,362.5
150,150,125,362.5
150,150,125,362.5
150,150,125,362.5
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,400
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,125,495
150,150,137.5,587.5
150,150,137.5,587.5
150,150,137.5,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,587.5
150,150,150,600
150,150,150,600
150,150,150,600
150,150,150,757.5
150,150,150,787.5
150,150,150,787.5
150,150,150,787.5
150,150,150,787.5
150,150,150,787.5
150,150,150,787.5
150,150,150,787.5
150,150,150,787.5
