Region,OccSeqLoc,SubOc1,AvgOfElev,AvgOfEast,AvgOfNorth,AvgOfRainfall,NSitesAZ,NSitesLT,NSitesET,NSitesCL,NSitesTF,NSitesLF,NSitesMF,NSitesEF,N Periods,Total Period,Half Period,One Third Period,Dewar,Dewar-Kintigh,,Periods,Length,Cases,,Periods,Length,Cases,,,PeriodEF,PeriodMF,PeriodLF,PeriodTF,PeriodCL,PeriodET,PeriodLT,PeriodAZ,,Mean,Median,Mean (NoAZ),Median(NoAZ)
TE,44,A,2485,525,2189.65,510,1,,,,,,,,1,370,185,123.3333333,185,185,,EF,270,4,,EF-LF,1070,1,,Whole Period,540,700,200,300,500,300,250,370,,495,370,592,540
CU,293,B,2585,520,2187.99,520,1,,,,,,,,1,370,185,123.3333333,185,185,,MF,350,23,,TF-ET,800,1,,Half Period,270,350,100,150,250,150,125,185,,298,185,384,270
CU,301,A,2543,518,2187.17,520,1,,,,,,,,1,370,185,123.3333333,185,185,,LF,100,56,,EF-TF,1320,1,,One-Third Period,180,233,67,100,167,100,83,123,,202,123,262,180
CU,304,A,2640,520,2186.72,520,1,,,,,,,,1,370,185,123.3333333,185,185,,TF,150,136,,MF-LT,1775,1,,Dewar,401,700,189,190,235,300,121,185,,321,185,425,379
CU,313,A,2500,518,2189,520,1,,,,,,,,1,370,185,123.3333333,185,185,,CL,250,157,,EF-LT,2390,1,,Dewar-Kintigh,150,232,70,110,172,143,82,185,,260,185,318,172
IX,34,A,2530,524,2188,520,1,,,,,,,,1,370,185,123.3333333,185,185,,ET,150,47,,ALL,2890,2,,,,,,,,,,,,,,,
IX,41,A,2550,519,2187.85,520,1,,,,,,,,1,370,185,123.3333333,185,185,,LT,125,235,,EF,270,4,,,,,,,,,,,,,,,
CH,402,A,2503,517,2187.58,530,1,,,,,,,,1,370,185,123.3333333,185,185,,AZ,185,972,,MF-CL,1100,5,,,,,,,,,,,,,,,
CU,78,A,2470,517,2188.02,530,1,,,,,,,,1,370,185,123.3333333,185,185,,EF-MF,620,0,,TF-LT,1075,5,,,,,,,,,,,,,,,
CU,256,A,2555,517,2186.68,530,1,,,,,,,,1,370,185,123.3333333,185,185,,MF-LF,620,15,,LF-AZ,1820,6,,,,,,,,,,,,,,,
CU,293,A,2565,517,2186.42,530,1,,,,,,,,1,370,185,123.3333333,185,185,,LF-TF,450,34,,CL-LT,675,8,,,,,,,,,,,,,,,
CU,327,A,2585,517,2186.07,530,1,,,,,,,,1,370,185,123.3333333,185,185,,TF-CL,400,92,,MF-AZ,2620,8,,,,,,,,,,,,,,,
IX,97,A,2590,520,2186.72,530,1,,,,,,,,1,370,185,123.3333333,185,185,,CL-ET,400,92,,LF-CL,650,12,,,,,,,,,,,,,,,
TE,73,A,2630,520,2186.19,530,1,,,,,,,,1,370,185,123.3333333,185,185,,ET-LT,275,17,,MF-LF,620,15,,,,,,,,,,,,,,,
CH,78,A,2315,509,2177.42,540,1,,,,,,,,1,370,185,123.3333333,185,185,,LT-AZ,495,271,,MF-TF,700,16,,,,,,,,,,,,,,,
CH,79,A,2340,509,2178.69,540,1,,,,,,,,1,370,185,123.3333333,185,185,,EF-LF,1070,1,,ET-LT,275,17,,,,,,,,,,,,,,,
CH,88,A,2322,509,2178.88,540,1,,,,,,,,1,370,185,123.3333333,185,185,,MF-TF,700,16,,TF-AZ,1720,18,,,,,,,,,,,,,,,
CH,167,A,2328,509,2178.17,540,1,,,,,,,,1,370,185,123.3333333,185,185,,LF-CL,650,12,,CL-AZ,1170,22,,,,,,,,,,,,,,,
CH,204,A,2309,511,2177.17,540,1,,,,,,,,1,370,185,123.3333333,185,185,,TF-ET,800,1,,MF,350,23,,,,,,,,,,,,,,,
CH,342,A,2520,516,2186.6,540,1,,,,,,,,1,370,185,123.3333333,185,185,,CL-LT,675,8,,LF-TF,450,34,,,,,,,,,,,,,,,
CH,344,A,2427,516,2188.68,540,1,,,,,,,,1,370,185,123.3333333,185,185,,ET-AZ,770,41,,ET-AZ,770,41,,,,,,,,,,,,,,,
CH,349,A,2420,515,2188.95,540,1,,,,,,,,1,370,185,123.3333333,185,185,,EF-TF,1320,1,,ET,150,47,,,,,,,,,,,,,,,
CH,350,A,2450,516,2189.7,540,1,,,,,,,,1,370,185,123.3333333,185,185,,MF-CL,1100,5,,LF,100,56,,,,,,,,,,,,,,,
CH,355,A,2425,516,2181.85,540,1,,,,,,,,1,370,185,123.3333333,185,185,,LF-ET,1050,0,,TF-CL,400,92,,,,,,,,,,,,,,,
CU,14,B,2415,514,2180,540,1,,,,,,,,1,370,185,123.3333333,185,185,,TF-LT,1075,5,,CL-ET,400,92,,,,,,,,,,,,,,,
CU,76,B,2415,513,2178.88,540,1,,,,,,,,1,370,185,123.3333333,185,185,,CL-AZ,1170,22,,TF,150,136,,,,,,,,,,,,,,,
CU,283,A,2485,516,2187.7,540,1,,,,,,,,1,370,185,123.3333333,185,185,,EF-CL,1720,0,,CL,250,157,,,,,,,,,,,,,,,
CU,298,A,2720,520,2185.55,540,1,,,,,,,,1,370,185,123.3333333,185,185,,MF-ET,1500,0,,LT,125,235,,,,,,,,,,,,,,,
TE,338,A,2265,504,2170.01,550,1,,,,,,,,1,370,185,123.3333333,185,185,,LF-LT,1325,0,,LT-AZ,495,271,,,,,,,,,,,,,,,
TE,340,A,2308,510,2178.99,550,1,,,,,,,,1,370,185,123.3333333,185,185,,TF-AZ,1720,18,,AZ,185,972,,,,,,,,,,,,,,,
TE,341,A,2395,514,2189.54,550,1,,,,,,,,1,370,185,123.3333333,185,185,,EF-ET,2120,0,,,,,,,,,,,,,,,,,,,
