Year,Population
-657,100
-200,15000
100,30000
200,30000
300,150000
400,450000
413,500000
500,450000
542,200000
600,150000
650,70000
700,125000
775,45000
800,45000
900,150000
1100,250000
1200,200000
1453,50000
1500,100000
1600,400000
1700,700000
1790,500000
1799,570000
1801,570000
1829,420000
1850,785000
1875,827750
1890,874000
1900,942900
1925,881000
1927,691000
1935,740800
1940,793900
1945,845300
1950,983000
1960,1459500
1965,1743000
1970,2132400
1975,2547400
1980,2853500
1985,5494900
1990,6620200
1994,7615500
1997,8260400
2000,8831800
2007,11174200
2015,14657434
2020,15190336
