Site/City,Region,Total Duration,Peak Duration,Start Occupation,End Occupation,Start Peak,End Peak,Source,Notes,
Kumasi,Africa,367,367,,,1633,2000,,,
Kilwa,Africa,700,700,,,800,1500,,,
Great Zimbabwe,Africa,800,800,,,900,1700,,,
Jenne Jeno,Africa,1650,1650,,,-250,1400,,,
"Timbuktu, 1st occ",Africa,2450,2450,,,-450,2000,,,
Chan Chan,Andes,600,570,900,1500,900,1470,Valladares 2018,"The Inka conquered the site about 1470. There was some continued occupation after this date, but full abandonment prior to the Spanish arrival in the 1530s. ",
Cuzco,Andes,820,720,1200,2020,1300,2020,Covey 2002,,
Chavin de Huantar,Andes,900,1700,-1300,-400,-1200,500,Kemble and Haas 2013 (in agreement with Rick et al 2009),"Burger 2019 argues for a later, 950 BC start to the peak",
Tiwanaku,Andes,2220,1050,-200,2020,100,1150,Marsh 2016,,
Anyang,China,554,554,,,-1600,-1046,,,
Nanjing,China,1779,1779,,,221,2000,,,
Luoyang,China,1793,1793,,,-1038,755,,,
Beijing,China,3046,3046,,,-1046,2000,,,
Xi'an,China ,1950,1950,,,-1046,904,,,
Caracol,Maya,1500,1500,,,-600,900,,,
Tikal,Maya,1850,1850,,,-950,900,,,
Copan,Maya,1900,1900,,,-1000,900,,,
Tayasal,Maya,2600,2600,,,-750,1850,,,
Santa Rita,Maya,2730,2730,,,-1200,1530,,,
Carthage,Mediterranean,2084,136,-814,1270,-400,-264,,"Church, A.J. (1998) The Story of Carthage. (Rev. ed.) New York: Biblio and Tannen.","Phoenician city and major centre of trade by 4th c BC, which rose in importance after the destruction of Tyre by Alexander the Great. It prospered until it came into conflict with Rome beginning in 264 BC with the 3 Punic Wars. In 129 BC Romans burned the city to the ground at the end of the 3rd Punic war. Was in ruin until a small Roman colony was subseqently establisehd in 121 BC. It existed as a significant Roman colongy until 439 when it fell to the Vandals. It rose again with the rise of Christianity 354-430 CE. Was destroyed in 698 by Muslims at which point trade transfered to nearby Tunis"
Byzantium,Mediterranean,2670,2103,-650,2020,-650,1453,Hanson database (start date),,284-337 CE new foundation as Constntonopile on site of Byzantium. The city subsequently fell in 1453 with the end of the Byzantine Empire. 
