earlydate,latedate,sitecode,region,sitename,no.glyph,no.objects,rankorder,eGreg,lGreg,eGreg Year,eGreg Month,eGreg Day,lGregYear,IGregMonth,IGregDay,YearSpan
09.05.10.00.00,09.18.15.00.00,CRN,central,La Corona,1414,32,1,0544-05-11,0805-07-22,544,5,11,805,7,22,261
09.00.00.00.00,10.04.00.00.00,CLK,central,Calakmul,1490,69,1,0435-12-09,0909-01-18,435,12,9,909,1,18,474
08.12.14.08.15,10.02.00.00.00,TIK,central,Tikal,1847,60,1,0292-02-05,0869-08-15,292,2,5,869,8,15,577
08.03.00.00.00,10.03.00.00.00,UAX,central,Uaxactun,523,20,1,0100-10-26,0889-05-02,100,10,26,889,5,2,789
09.14.10.00.00 ,09.17.05.00.00 ,ITS,central,Itzimte-Sacluk,132,9,2,0721-10-11,0775-12-27,721,10,11,775,12,27,54
09.09.19.15.00,09.14.00.00.00,UXL,central,Uxul,341,10,2,0632-02-15,0711-12-03,632,2,15,711,12,3,79
08.17.01.05.03?,09.02.00.00.00,ZAP,central,El Zapote,156,6,2,0377-10-22,0475-05-13,377,10,22,475,5,13,98
09.15.00.00.00,10.00.00.00.00,OXP,central,Oxpemul,214,13,2,0731-08-20,0830-03-13,731,8,20,830,3,13,99
09.03.10.00.00,09.16.10.00.00,NCT,central,Naachtun,161,11,2,0504-12-07,0761-03-15,504,12,7,761,3,15,257
08.19.00.00.00,09.18.00.00.00,PRU,central,El Peru,434,16,2,0416-03-23,0790-10-09,416,3,23,790,10,9,374
10.02.10.00.00,10.03.00.00.00,JMB,central,Jimbal,77,4,3,0879-06-24,0889-05-02,879,6,24,889,5,2,10
09.15.00.00.00,09.16.00.00.00,CHT,central,Chactun,69,6,3,0731-08-20,0751-05-07,731,8,20,751,5,7,20
09.13.03.01.00,09.14.10.00.00,ZPB,central,Zapote Bobal,18,2,3,0695-03-02,0721-10-11,695,3,2,721,10,11,26
09.19.10.00.00,10.01.00.00.00,ZPT,central,Zacpeten,47,4,3,0820-05-04,0849-11-28,820,5,4,849,11,28,29
10.01.00.00.00,10.02.10.00.00,IXL,central,Ixlu,61,5,3,0849-11-28,0879-06-24,849,11,28,879,6,24,30
09.12.08.00.00,09.14.00.00.00,MTL,central,Motul de San Jose,89,2,3,0680-05-18,0711-12-03,680,5,18,711,12,3,31
09.15.00.00.00,09.16.15.00.00,FLD,central,La Florida,32,3,3,0731-08-20,0766-02-17,731,8,20,766,2,17,35
09.15.00.00.00,09.18.05.00.00,KJT,central,Kajtun,31,2,3,0731-08-20,0795-09-13,731,8,20,795,9,13,64
09.10.14.13.00?,09.16.10.00.00?,CHL,central,El Chal,31,3,3,0646-11-26,0761-03-15,646,11,26,761,3,15,115
09.16.00.00.00,10.02.00.00.00,FLS,central,Flores,24,5,3,0751-05-07,0869-08-15,751,5,7,869,8,15,118
09.12.10.00.00,10.01.00.00.00,UCN,central,Ucanal,28,2,3,0682-05-08,0849-11-28,682,5,8,849,11,28,167
09.13.??.00.00,10.03.00.00.00,MCA,central,La Muneca,61,6,3,0692-03-16,0889-05-02,692,3,16,889,5,2,197
09.07.00.00.00?,10.00.00.00.00,ZTZ,central,El Zotz,33,2,3,0573-12-05,0830-03-13,573,12,5,830,3,13,257
