SiteID,SubOc1,StartDate,EndDate,OccLength
431,A,-2300,-1700,600
448,A,-2300,-1400,900
477,B,-2300,-1700,600
481,A,-2300,-1700,600
482,B,-2300,-1700,600
484,A,-2300,-1700,600
485,A,-2300,-1700,600
490,A,-2300,-1700,600
491,A,-2300,-1700,600
496,A,-2300,-1700,600
541,A,-2300,-1700,600
553,A,-2300,-1700,600
554,A,-2300,-1700,600
555,A,-2300,-1700,600
558,A,-2300,-1700,600
559,A,-2300,-1700,600
561,A,-2300,-1700,600
651,A,-2300,-1000,1300
653,A,-2300,-1000,1300
670,A,-2300,-1000,1300
788,A,-2300,-1000,1300
832,A,-2300,-1000,1300
849,A,-2300,-1000,1300
858,A,-2300,-1000,1300
860,A,-2300,-1000,1300
864,A,-2300,-1000,1300
875,A,-2300,-1000,1300
952,A,-2300,-1000,1300
991,A,-2300,-1000,1300
995,A,-2300,-1000,1300
1005,A,-2300,-1000,1300
1081,A,-2300,-1000,1300
1128,A,-2300,-1000,1300
1130,A,-2300,-1000,1300
1131,A,-2300,-1000,1300
1176,A,-2300,-1000,1300
1178,A,-2300,-1200,1100
1179,A,-2300,-1300,1000
1180,A,-2300,-1300,1000
1181,A,-2300,-1700,600
2002,B,-2300,-1750,550
2012,A,-2300,-1000,1300
2022,A,-2300,-1700,600
2023,A,-2300,-1700,600
2057,B,-2300,-1700,600
2058,B,-2300,-1700,600
2069,A,-2300,-1000,1300
2744,A,-2300,-1000,1300
2784,A,-2300,-1000,1300
2802,A,-2300,-1700,600
2803,A,-2300,-1000,1300
2804,A,-2300,-1700,600
2806,A,-2300,-1000,1300
3393,A,-2300,-1700,600
3427,A,-2300,-1700,600
3435,A,-2300,-1700,600
3466,A,-2300,-1700,600
3691,A,-2300,-1000,1300
3692,A,-2300,-1000,1300
3693,A,-2300,-1200,1100
3694,A,-2300,-1000,1300
3695,A,-2300,-1000,1300
3696,A,-2300,-1000,1300
3697,A,-2300,-1000,1300
4995,A,-2300,-1000,1300
5116,A,-2300,-2000,300
5360,A,-2300,-1700,600
5369,A,-2300,-1000,1300
5371,A,-2300,-1000,1300
5375,A,-2300,-1000,1300
5377,B,-2300,-1000,1300
5485,A,-2300,-1000,1300
5813,A,-2300,-1000,1300
5858,A,-2300,-1000,1300
5861,A,-2300,-1700,600
5862,A,-2300,-1700,600
5930,A,-2300,-1000,1300
5983,A,-2300,-1700,600
5984,A,-2300,-1700,600
5999,A,-2300,-1000,1300
6037,A,-2300,-1700,600
6083,A,-2300,-1000,1300
6091,A,-2300,-1700,600
6092,A,-2300,-1700,600
6095,A,-2300,-1000,1300
6096,A,-2300,-1700,600
6099,A,-2300,-1700,600
6135,B,-2300,-1000,1300
6144,A,-2300,-1700,600
6149,A,-2300,-1000,1300
6185,A,-2300,-1000,1300
6235,B,-2300,-1000,1300
6260,A,-2300,-1700,600
6266,A,-2300,-1700,600
6392,A,-2300,-1700,600
6417,A,-2300,-1000,1300
6617,A,-2300,-1000,1300
6620,A,-2300,-1000,1300
6624,A,-2300,-1000,1300
6626,A,-2300,-1700,600
6632,A,-2300,-1000,1300
6649,A,-2300,-1000,1300
6681,A,-2300,-1000,1300
6777,A,-2300,-1700,600
6807,A,-2300,-1000,1300
6852,B,-2300,-1700,600
6887,A,-2300,-1700,600
6888,A,-2300,-1000,1300
6905,A,-2300,-1000,1300
6913,A,-2300,-1700,600
7009,A,-2300,-1000,1300
7013,A,-2300,-1700,600
7014,B,-2300,-1700,600
7022,A,-2300,-1000,1300
7023,A,-2300,-1000,1300
7034,A,-2300,-1000,1300
7112,A,-2300,-1000,1300
7117,A,-2300,-1700,600
7125,A,-2300,-1700,600
7186,B,-2300,-1000,1300
7197,A,-2300,-1000,1300
7216,B,-2300,-1700,600
7253,A,-2300,-1000,1300
7256,C,-2300,-1000,1300
7259,B,-2300,-1000,1300
7267,A,-2300,-1000,1300
7268,A,-2300,-1000,1300
7270,A,-2300,-1000,1300
7271,A,-2300,-1000,1300
7272,A,-2300,-1000,1300
7276,B,-2300,-1000,1300
7278,A,-2300,-1000,1300
7281,B,-2300,-1000,1300
7285,A,-2300,-1000,1300
7307,A,-2300,-1700,600
7308,A,-2300,-1000,1300
7313,B,-2300,-1000,1300
7323,A,-2300,-1700,600
7324,B,-2300,-1000,1300
5814,A,-2200,-1000,1200
6412,A,-2000,-1700,300
2297,A,-1800,-1500,300
2299,A,-1800,-1500,300
157,A,-1750,-1350,400
2002,B,-1750,-1350,400
2003,B,-1750,-1350,400
2004,B,-1750,-1350,400
3,A,-1700,-1350,350
7,A,-1700,-1350,350
12,A,-1700,-1350,350
72,A,-1700,-1020,680
73,A,-1700,-1020,680
75,A,-1700,-1350,350
108,A,-1700,-1350,350
119,A,-1700,-1350,350
159,A,-1700,-1020,680
160,A,-1700,-1020,680
161,A,-1700,-1020,680
162,A,-1700,-1020,680
327,A,-1700,-800,900
333,A,-1700,-800,900
336,A,-1700,-800,900
340,A,-1700,-800,900
341,A,-1700,-800,900
347,A,-1700,-800,900
357,A,-1700,-800,900
360,A,-1700,-800,900
411,A,-1700,-1020,680
423,A,-1700,-1300,400
427,A,-1700,-1200,500
428,A,-1700,-1200,500
433,A,-1700,-1300,400
434,A,-1700,-1300,400
442,A,-1700,-1500,200
462,A,-1700,-1300,400
466,A,-1700,-1500,200
467,A,-1700,-1300,400
473,A,-1700,-1500,200
478,A,-1700,-1500,200
480,A,-1700,-1200,500
486,A,-1700,-1500,200
487,A,-1700,-1500,200
496,A,-1700,-1300,400
532,A,-1700,-1000,700
546,A,-1700,-1000,700
569,A,-1700,-1300,400
571,A,-1700,-1300,400
572,A,-1700,-1300,400
573,A,-1700,-1200,500
575,A,-1700,-1300,400
612,A,-1700,-1000,700
863,A,-1700,-1300,400
897,A,-1700,-1300,400
939,A,-1700,-1300,400
1085,A,-1700,-1000,700
1129,A,-1700,-1300,400
1181,A,-1700,-1300,400
1191,A,-1700,-1300,400
1504,B,-1700,-1300,400
1528,A,-1700,-1300,400
2022,A,-1700,-1350,350
2057,B,-1700,-1300,400
2058,B,-1700,-1300,400
2558,A,-1700,-1300,400
2563,A,-1700,-1300,400
2565,A,-1700,-1300,400
2804,A,-1700,-1300,400
2805,A,-1700,-1300,400
3332,A,-1700,-1300,400
3337,A,-1700,-1300,400
3363,A,-1700,-1300,400
3367,A,-1700,-1000,700
3393,A,-1700,-1300,400
3466,A,-1700,-1300,400
4288,A,-1700,-1300,400
5360,A,-1700,-1300,400
5512,A,-1700,-1300,400
5514,A,-1700,-1300,400
5576,A,-1700,-1300,400
5602,A,-1700,-1300,400
5671,A,-1700,-1300,400
5672,A,-1700,-1300,400
5691,A,-1700,-1300,400
5714,A,-1700,-1300,400
5716,A,-1700,-1300,400
5734,A,-1700,-1500,200
5753,A,-1700,-1500,200
5759,A,-1700,-1300,400
5965,A,-1700,-1300,400
5969,A,-1700,-1300,400
5981,A,-1700,-1300,400
6037,A,-1700,-1300,400
6047,A,-1700,-1200,500
6069,B,-1700,-1500,200
6070,A,-1700,-1500,200
6071,A,-1700,-1500,200
6072,A,-1700,-1500,200
6073,A,-1700,-1500,200
6081,A,-1700,-1000,700
6090,B,-1700,-1300,400
6093,A,-1700,-1300,400
6109,A,-1700,-1500,200
6116,A,-1700,-1300,400
6128,B,-1700,-1300,400
6160,A,-1700,-1300,400
6213,A,-1700,-1300,400
6242,A,-1700,-1500,200
6282,A,-1700,-1500,200
6283,B,-1700,-1300,400
6393,A,-1700,-1400,300
6394,B,-1700,-1400,300
6395,B,-1700,-1400,300
6396,A,-1700,-1400,300
6397,A,-1700,-1400,300
6398,A,-1700,-1300,400
6618,A,-1700,-1300,400
6619,A,-1700,-1300,400
6631,A,-1700,-1300,400
6776,A,-1700,-1300,400
6875,A,-1700,-1300,400
6887,A,-1700,-1300,400
6997,A,-1700,-1300,400
7008,A,-1700,-1300,400
7010,A,-1700,-1300,400
7013,A,-1700,-1300,400
7014,B,-1700,-1300,400
7117,A,-1700,-1300,400
7118,A,-1700,-1500,200
7119,A,-1700,-1500,200
7125,A,-1700,-1300,400
7164,B,-1700,-1300,400
7187,B,-1700,-1300,400
7199,B,-1700,-1300,400
7233,B,-1700,-1300,400
7260,B,-1700,-1300,400
7307,A,-1700,-1300,400
7323,A,-1700,-1300,400
434,A,-1500,-1400,100
447,A,-1500,-1200,300
458,A,-1500,-1400,100
459,A,-1500,-1400,100
539,B,-1500,-1000,500
2469,A,-1500,-1000,500
6109,A,-1500,-1300,200
6178,A,-1500,-1300,200
6206,A,-1500,-1300,200
415,B,-1400,-1000,400
419,A,-1400,-1000,400
437,B,-1400,-1000,400
443,A,-1400,-1300,100
450,A,-1400,-1300,100
454,A,-1400,-1300,100
465,A,-1400,-1300,100
469,A,-1400,-1000,400
471,A,-1400,-1300,100
479,A,-1400,-1200,200
4577,A,-1400,-1200,200
6399,A,-1400,-1300,100
6400,A,-1400,-1300,100
6401,A,-1400,-1300,100
6402,A,-1400,-1300,100
6403,B,-1400,-1300,100
6404,A,-1400,-1300,100
7116,A,-1400,-1300,100
7123,A,-1400,-1300,100
7126,A,-1400,-1300,100
7216,C,-1400,-1300,100
10,A,-1350,-1020,330
12,A,-1350,-1020,330
14,A,-1350,-1020,330
139,A,-1350,-1020,330
158,A,-1350,-1020,330
2002,B,-1350,-1000,350
2003,B,-1350,-1000,350
418,A,-1300,-1000,300
420,A,-1300,-1000,300
429,A,-1300,-1200,100
446,A,-1300,-1200,100
462,A,-1300,-1000,300
493,A,-1300,-1000,300
496,A,-1300,-1000,300
559,B,-1300,-1200,100
564,A,-1300,-1200,100
565,B,-1300,-1200,100
1177,A,-1300,-1000,300
1191,A,-1300,-1000,300
2057,B,-1300,-900,400
2058,B,-1300,-900,400
2099,A,-1300,-1000,300
2298,A,-1300,-1100,200
2545,A,-1300,-1000,300
2558,A,-1300,-1000,300
2563,A,-1300,-1000,300
2565,A,-1300,-1000,300
3332,A,-1300,-1000,300
3337,A,-1300,-1000,300
3466,A,-1300,-1000,300
4166,A,-1300,-1000,300
5360,A,-1300,-1000,300
5526,A,-1300,-1000,300
5535,A,-1300,-1000,300
5542,A,-1300,-1000,300
5543,A,-1300,-1000,300
5544,A,-1300,-1000,300
5546,A,-1300,-1000,300
5570,A,-1300,-1000,300
5576,A,-1300,-1000,300
5601,A,-1300,-1000,300
5602,A,-1300,-1000,300
5671,A,-1300,-1000,300
5672,A,-1300,-1000,300
5691,A,-1300,-1000,300
5692,A,-1300,-1000,300
5997,A,-1300,-1000,300
5998,A,-1300,-1000,300
6009,A,-1300,-1000,300
6090,B,-1300,-1000,300
6093,A,-1300,-1000,300
6096,A,-1300,-1000,300
6109,A,-1300,-1000,300
6160,A,-1300,-1000,300
6177,A,-1300,-1000,300
6206,A,-1300,-1000,300
6213,A,-1300,-1000,300
6283,B,-1300,-1000,300
6397,B,-1300,-900,400
6398,A,-1300,-1000,300
6399,A,-1300,-1000,300
6403,B,-1300,-1000,300
6404,A,-1300,-1000,300
6405,A,-1300,-1000,300
6412,B,-1300,-1000,300
6628,A,-1300,-1000,300
6991,B,-1300,-1000,300
6997,A,-1300,-1000,300
7004,A,-1300,-1000,300
7005,A,-1300,-1000,300
7008,A,-1300,-1200,100
7011,A,-1300,-1000,300
7013,A,-1300,-1000,300
7014,B,-1300,-1000,300
7029,A,-1300,-1000,300
7032,A,-1300,-1000,300
7035,A,-1300,-1000,300
7116,A,-1300,-1000,300
7117,A,-1300,-1000,300
7119,B,-1300,-1000,300
7120,A,-1300,-1000,300
7125,A,-1300,-1000,300
7126,A,-1300,-1000,300
7199,B,-1300,-1000,300
7233,B,-1300,-1000,300
7307,A,-1300,-1000,300
7323,A,-1300,-1000,300
416,A,-1200,-1000,200
422,A,-1200,-1000,200
424,A,-1200,-1000,200
425,A,-1200,-1000,200
426,A,-1200,-1000,200
430,B,-1200,-1000,200
