"site","begin","end"
"Swingle's Sample","1275","1450"
"Bajada Site","1275","1450"
"Buzan","1275","1450"
"Ash Terrace","1275","1450"
"Lost Mound","1275","1450"
"Dudleyville Mound","1275","1450"
"Leaverton","1275","1450"
"Camp Village","1275","1450"
"High Mesa","1275","1450"
"Elliott Site","1275","1450"
"Big Pot","950","1325"
"Bayless Ruin","1275","1450"
"Flieger","1275","1450"
"Big Bell","1275","1450"
"Corrugated Ridge","1275","1450"
"111 Ranch","1275","1450"
"Davis Ranch Site","1325","1450"
"Reeve Ruin","1300","1450"
"Twin Hawks","1000","1350"
"Adobe Hill","1325","1450"
"Artifact Hill","1275","1450"
"Curtis","1275","1450"
"Jose Solas Ruin","1275","1450"
"Piper Springs","1300","1450"
"Roach Wash","1275","1450"
"Wright","1275","1450"
"Second Canyon Compound","1325","1450"
"Armer Gulch Ruin","1150","1450"
"AZ U:3:121 (ASM)","1150","1450"
"AZ U:3:128 (ASM)","1350","1450"
"AZ U:3:198 (ASM)","1175","1450"
"AZ U:3:199 (ASM)","1275","1450"
"AZ U:3:204 (ASM)","1200","1300"
"AZ U:3:205 (ASM)","1325","1450"
"AZ U:3:214 (ASM)","1275","1325"
"AZ U:4:007 (ASM)","1150","1425"
"AZ U:4:008 (ASM)","1275","1300"
"AZ U:4:009 (ASM)","1325","1450"
"AZ U:4:012 (ASM)","1275","1425"
"AZ U:4:029 (ASM)","1200","1325"
"AZ U:4:032 (ASM)","1275","1325"
"AZ U:4:035 (ASM)","1350","1450"
"AZ U:4:047 (ASM)","1275","1325"
"AZ U:4:048 (ASM)","750","1325"
"AZ U:4:075 (ASM)","750","1150"
"AZ U:4:077 (ASM)","750","1150"
"AZ U:4:097 (ASM)","1275","1300"
"AZ U:4:099 (ASM)","1325","1450"
"AZ U:8:052 (ASM)","750","1100"
"AZ U:8:078 (ASM)","1175","1400"
"AZ U:8:152 (ASM)","1025","1325"
"AZ U:8:185 (ASM)","1325","1450"
"AZ U:8:187 (ASM)","1275","1325"
"AZ U:8:195 (ASM)","1275","1325"
"AZ U:8:221 (ASM)","825","1450"
"AZ U:8:224 (ASM)","875","1100"
"AZ U:8:318 (ASM)","1350","1450"
"AZ U:8:454 (ASM)","1300","1350"
"AZ U:8:514 (ASM)","1275","1400"
"AZ U:8:515 (ASM)","1150","1400"
"AZ U:8:531 (ASM)","1150","1450"
"AZ U:8:589 (ASM)","1175","1450"
"AZ V:5:092 (ASM)","750","1150"
"AZ V:5:093 (ASM)","850","1150"
"AZ V:5:094 (ASM)","750","1150"
"AZ V:5:096 (ASM)","850","1000"
"AZ V:5:103 (ASM)","1050","1450"
"AZ V:5:105 (ASM)","1100","1300"
"AZ V:5:119 (ASM)","1100","1300"
"AZ V:5:121 (ASM)","1275","1300"
"AZ V:5:125 (ASM)","1175","1300"
"AZ V:5:130 (ASM)","1275","1300"
"AZ V:5:141 (ASM)","1275","1325"
"Bass Point Mound","1175","1325"
"Behrend Capture","1175","1325"
"Corner Creek Ruin","750","1375"
"Granary Row","1050","1325"
"Griffen Wash Complex","1175","1325"
"Indian Point Complex","1325","1450"
"Las Manos","750","1150"
"Las Tortugas","1100","1325"
"Los Hermanos","1100","1325"
"Meddler Point Complex","1050","1325"
"Meddler Point Mound","750","1325"
"Middle of the Road Site","1175","1325"
"Oak Creek--Sedona","1300","1400"
"Pillar Mound, Livingston Mound","1200","1325"
"Pinto Point Mound","1175","1325"
"Porcupine Site","1175","1325"
"Prickly Saguaro","1050","1300"
"Pyramid Point Complex","1200","1350"
"Saguaro Muerto","1275","1325"
"Sand Dune Site","1275","1325"
"Schoolhouse Point Mesa Complex","1100","1325"
"Tonto Cliff Dwellings","1325","1450"
"Vista del Puerto","1050","1150"
"VIV Platform Mound","1325","1450"
"LA 2947","850","1050"
"Lovelady Ranch","725","1125"
"AZ W:11:12M","1300","1400"
"AZ W:11:7","750","1200"
"WS Ranch","750","1125"
"LA 34774","725","1100"
"Largo Canyon","1100","1350"
"AZ W:8:15","1000","1300"
"Foote Canyon Pueblo","1200","1325"
"AZ W:8:4","1050","1300"
"Blue PO Site","1175","1300"
"AZ W:8:9","750","1300"
"LA 5939","1050","1275"
"Castillo (Costilla?) Spring","1050","1300"
"Gallo Spring","1050","1200"
"LA 9777","1050","1300"
"LA 11493","1200","1300"
"LA 105878","1100","1300"
"LA 105880","1050","1275"
"Rudd Creek Pueblo","1200","1300"
"Slade","1050","1300"
"Greenwood","1050","1300"
"Springerville Area Site R57-59","1100","1300"
"Casa Malpais","1050","1300"
"Danson Pueblo","1050","1400"
"Hooper Ranch Pueblo","1100","1400"
"AZ Q:15:9","1200","1300"
"AZ Q:16:3","1050","1300"
"Indian Tank Site","1175","1300"
"Starkweather Ruin","775","900"
"Apache Creek Pueblo","1050","1300"
"LA 3274","1050","1275"
"LA 3279","1050","1300"
"LA 4987","900","1300"
"LA 4989","1050","1225"
"Pueblo Carrejo","1100","1300"
"LA 6063","1100","1300"
"LA 6888","1100","1300"
"LA 8090","1050","1275"
"LA 8108","1100","1275"
"Higgins Flat","850","1300"
"LA 8099","1050","1300"
"Hudson Ranch","900","1275"
"LA 83287","1100","1300"
"LA 83409","900","1200"
"LA 85442","725","1300"
"LA 3262","1100","1275"
"Aragon","1100","1200"
"TJ Ruin","900","1125"
"Gila Cliff Dwellings","1050","1300"
"3-Up","1275","1450"
"Babocomari Village","1250","1450"
"Hereford","1275","1450"
"NA 5653","600","1300"
"Aztec","1050","1275"
"Maddox Ranch","1200","1450"
"Pueblo Pintado","975","1250"
"Pendleton","1200","1450"
"Animas River Ruin","1050","1275"
"Morris 39","875","1175"
"Holmes Group","1000","1250"
"Flora Vista","1050","1275"
"Jaquez","975","1250"
"Fort Wingate","875","1050"
"Newcomb Community","1000","1150"
"Red Willow II","1200","1275"
"Clanton Draw","1200","1450"
"Box Canyon","1350","1450"
"Twin Angels","1050","1150"
"Lizard House--Cebolleta Mesa","1200","1300"
"LA 6679","1050","1275"
"LA 6705","1050","1275"
"LA 6725","600","1275"
"LA 6729","1000","1275"
"Skunk Springs","850","1275"
"LA 7059","1050","1275"
"LA 7067","1000","1225"
"LA 7068","1050","1275"
"Crumbled House","1050","1275"
"LA 7072","1000","1250"
"LA 7075","1050","1275"
"LA 7077","1050","1275"
"LA 7081","1050","1275"
"LA 7095","1050","1275"
"LA 7098","1100","1275"
"LA 7134","1050","1275"
"LA 7138","1000","1250"
"LA 7183","1050","1275"
"LA 7189","1000","1150"
"LA 7192","1000","1125"
"LA 7200","1050","1275"
"LA 7290","1000","1225"
"LA 7318","1050","1250"
"LA 7329","1050","1275"
"LA 7343","875","1150"
"LA 7417","1050","1250"
"LA 7433","1050","1275"
"LA 7434","1050","1275"
"LA 7437","1050","1275"
"LA 7438","1050","1275"
"LA 7465","1050","1275"
"LA 7470","700","1750"
"LA 7475","1050","1225"
"LA 7501","1050","1150"
"LA 7502","1050","1225"
"LA 7526","1050","1275"
"LA 7538","1050","1275"
"LA 7547","1050","1275"
"To Dil Hil Dry Lake","1050","1275"
"LA 7582","1050","1275"
"LA 7584","1050","1275"
"LA 7591","1050","1150"
"LA 7624","1050","1250"
"LA 7641","1050","1250"
"LA 7678","1150","1300"
"LA 7690","1050","1125"
"LA 7704","1050","1250"
"LA 7753","1000","1275"
"LA 7778","1050","1275"
"LA 7781","1000","1125"
"LA 7787","1000","1125"
"LA 7935","1050","1275"
"LA 7938","1000","1275"
"LA 7973","1050","1150"
"LA 8200","1050","1150"
"LA 8204","1050","1275"
"LA 8237","1050","1150"
"LA 8240","1050","1225"
"LA 8433","1050","1225"
"LA 8458","1050","1275"
"LA 8476","1050","1250"
"LA 8477","1050","1300"
"LA 8500","1150","1275"
"LA 8519","1050","1250"
"Naschitti","900","1000"
"LA 8549","975","1125"
"Shannon Bluff-Point","850","1225"
"Fruitland Pueblo","1050","1250"
"Salmon","1050","1275"
"LA 10875","1050","1225"
"LA 12758","1000","1275"
"West Water","1175","1250"
"LA 13114","1175","1275"
"LA 20266","1050","1250"
"Domingues","1275","1450"
"LA 39035","900","1450"
"LA 50078","1050","1250"
"LA 52606","1100","1275"
"Stewart Ranch","900","1300"
"Hoskins","1000","1450"
"Little","1200","1450"
"Pigpen Ranch","900","1450"
"Double Adobe","1200","1450"
"Cloverdale Park","1350","1450"
"Saddle Bronc","1200","1450"
"Horse Mesa House","1050","1275"
"Kello Blancett","1050","1275"
"LA 60009","1050","1275"
"LA 60020","1050","1250"
"Morris' Old Fort","1050","1275"
"LA 100068","900","1275"
"LA 100069","875","1050"
"LA 100082","1175","1275"
"Kinishba","1275","1400"
"Adobe Pueblo","1300","1375"
"Awat'ovi","1375","1450"
"AZ W:10:10","750","1150"
"AZ W:10:12","1325","1400"
"Point of Pines Ruin","1300","1325"
"AZ W:10:52","1325","1400"
"AZ W:10:65","1375","1625"
"AZ W:10:68","1350","1450"
"Heshoda Yala:wa","1050","1400"
"Chalo:wa","1375","1625"
"Archeotekopa II","1200","1300"
"Techado Spring","1200","1325"
"Jaralosa","1175","1300"
"Fort Site","1200","1300"
"Horse Camp Mill","1100","1300"
"Ojo Bonito","1275","1450"
"Hinkson Ranch","1175","1300"
"Ojo Pueblo","1200","1300"
"Rainbow Spring","1050","1675"
"Kin Cheops II","1025","1300"
"Hawikku","1400","1675"
"Kechiba:wa","1375","1675"
"Eagle Crag","1050","1350"
"White Rock","1000","1150"
"Eighteen Mile Ruin","1150","1325"
"Wide Reed Ruin","1200","1300"
"Hogay Ruin","875","1300"
"NA 3035","1150","1300"
"Kinlichee","850","1200"
"Cornfields","1200","1300"
"AZ K:8:153","1050","1300"
"Togetzoge","1325","1450"
"Gila Pueblo","1275","1450"
"Chevelon","1275","1400"
"NA 13898","1050","1275"
"Flake Ruin","1025","1300"
"Haby Ranch","1350","1450"
"Eagle Pass","1325","1450"
"Hilltop Ruin","1325","1400"
"Dinwiddie","1325","1450"
"Mashonpi","1250","1300"
"Hoyapi","1250","1350"
"Hukovi","1200","1350"
"Old Songopavi","1300","1375"
"Payupki","1675","1775"
"Lululongturqi","1075","1300"
"Abangkuyivi","1150","1275"
"Sikyatki","1375","1450"
"Pink Arrow","1325","1450"
"Kokopnyama","1300","1375"
"Tom's Rock","1050","1300"
"Goesling","1050","1300"
"Hubble Corner","1100","1300"
"Cluff Ranch","950","1450"
"Murphy Site--Safford East","1200","1450"
"Rincon Canyon","1200","1450"
"Spear Ranch","1275","1325"
"Owens-Colvin","1150","1450"
"Goat Hill","1275","1325"
"Fischer site","1275","1450"
"Whitmer","1350","1450"
"Yuma Wash Site","1200","1450"
"Marijilda Ruin","1300","1350"
"Emigrant Springs","1250","1300"
"Isham","1250","1300"
"Taylor Springs","1250","1300"
"Rocky Point","1050","1225"
"Wide Ruins","1275","1300"
"Black Mountain Pueblo","1300","1400"
"Sanrace Cliff Dwelling","1300","1400"
"Schoolhouse Point Mound","1275","1450"
"AZ V:1:130","1325","1450"
"Cooper Forks Cliff Dwelling","1200","1400"
"Cock's Comb Ridge","1325","1400"
"Knife Ridge Site","1200","1450"
"Pottery Point Ruin","1275","1400"
"AZ V:1:167","1300","1450"
"Upper Coon Creek","1200","1325"
"AZ C:1:37","1200","1400"
"AZ V:1:185","1025","1275"
"AZ V:1:195","1100","1275"
"Granite Basin","1275","1400"
"Canyon Creek","1325","1400"
"Blue House Mountain","1325","1400"
"Spotted Mountain Pueblo","1325","1400"
"Canyon Butte Pueblo","1325","1400"
"Ruins Tank","1325","1400"
"AZ V:2:83","1325","1400"
"Carrizo Ruin","1325","1400"
"Roundy Ruin","1050","1275"
"Shumway Ruin","1275","1400"
"Fourmile Ruin","1275","1450"
"Bailey Ruin","1275","1325"
"NA 4566","1050","1325"
"NA 4580","1200","1300"
"Pottery Hill--Silver Creek","1050","1300"
"Pinedale Ruin","1275","1325"
"Grasshopper","1275","1400"
"Brush Mountain","1300","1400"
"Red Rock House","1325","1400"
"Oak Creek Pueblo","1325","1375"
"Red Canyon Pueblo","1325","1400"
"Blue Springs Ruin","1300","1400"
"Cibecue Creek Ruin","1325","1400"
"Tundastusa","1225","1350"
"Ormand Village","1325","1450"
"Villareal II","1000","1450"
"Dutch Ruin","800","1450"
"Spier 175","1275","1450"
"Rattlesnake Point","1275","1450"
"Sherwood Ranch","1050","1325"
